
GENERATION NUMBER,  1,

SELECTION STAGE 

KILL,20,%,FITNESS,1
FETCH,26,%,FITNESS,1
GATHER,26,%,FITNESS,1
EXPLORE,28,%,FITNESS,1
CLOSE,58,%,FITNESS,1
MID,29,%,FITNESS,1
FAR,12,%,FITNESS,1
FINAL STAGE 

KILL,24,%,FITNESS,1
FETCH,28,%,FITNESS,1
GATHER,20,%,FITNESS,1
EXPLORE,28,%,FITNESS,1
CLOSE,60,%,FITNESS,1
MID,28,%,FITNESS,1
FAR,12,%,FITNESS,1

GENERATION NUMBER,  2,

SELECTION STAGE 

KILL,32,%,FITNESS,6
FETCH,21,%,FITNESS,1
GATHER,10,%,FITNESS,1
EXPLORE,37,%,FITNESS,1
CLOSE,45,%,FITNESS,4
MID,43,%,FITNESS,2
FAR,12,%,FITNESS,1
FINAL STAGE 

KILL,56,%,FITNESS,6
FETCH,16,%,FITNESS,1
GATHER,0,%,FITNESS,1
EXPLORE,28,%,FITNESS,1
CLOSE,68,%,FITNESS,4
MID,28,%,FITNESS,2
FAR,4,%,FITNESS,1

GENERATION NUMBER,  3,

SELECTION STAGE 

KILL,44,%,FITNESS,1
FETCH,27,%,FITNESS,3
GATHER,0,%,FITNESS,1
EXPLORE,29,%,FITNESS,3
CLOSE,68,%,FITNESS,9
MID,30,%,FITNESS,1
FAR,2,%,FITNESS,1
FINAL STAGE 

KILL,28,%,FITNESS,1
FETCH,36,%,FITNESS,3
GATHER,4,%,FITNESS,1
EXPLORE,32,%,FITNESS,3
CLOSE,92,%,FITNESS,9
MID,8,%,FITNESS,1
FAR,0,%,FITNESS,1

GENERATION NUMBER,  4,

SELECTION STAGE 

KILL,29,%,FITNESS,1
FETCH,42,%,FITNESS,3
GATHER,10,%,FITNESS,1
EXPLORE,19,%,FITNESS,3
CLOSE,70,%,FITNESS,10
MID,29,%,FITNESS,1
FAR,1,%,FITNESS,1
FINAL STAGE 

KILL,4,%,FITNESS,1
FETCH,60,%,FITNESS,3
GATHER,4,%,FITNESS,1
EXPLORE,32,%,FITNESS,3
CLOSE,96,%,FITNESS,10
MID,4,%,FITNESS,1
FAR,0,%,FITNESS,1

GENERATION NUMBER,  5,

SELECTION STAGE 

KILL,0,%,FITNESS,1
FETCH,70,%,FITNESS,1
GATHER,0,%,FITNESS,2
EXPLORE,30,%,FITNESS,1
CLOSE,86,%,FITNESS,1
